size,waist,thigh,hem,outseam,model,brand,price,salerate,realprice,modelDetail,sex
76,76.5,54.5,32.2,98.0,2001004097,SPAO,39900,0,39900,[데일리지] 착용감이 편안한 찰Jeans (슬림)_SPTJA23C01,M
78,79.0,56.0,32.8,98.5,2001004097,SPAO,39900,0,39900,[데일리지] 착용감이 편안한 찰Jeans (슬림)_SPTJA23C01,M
80,81.5,57.5,33.4,99.0,2001004097,SPAO,39900,0,39900,[데일리지] 착용감이 편안한 찰Jeans (슬림)_SPTJA23C01`,M
82,84.0,59.0,34.0,99.5,2001004097,SPAO,39900,0,39900,[데일리지] 착용감이 편안한 찰Jeans (슬림)_SPTJA23C01,M
84,86.5,60.5,34.6,100.0,2001004097,SPAO,39900,0,39900,[데일리지] 착용감이 편안한 찰Jeans (슬림)_SPTJA23C01,M
86,89.0,62.0,35.2,100.5,2001004097,SPAO,39900,0,39900,[데일리지] 착용감이 편안한 찰Jeans (슬림)_SPTJA23C01,M
90,94.0,65.0,36.4,101.5,2001004097,SPAO,39900,0,39900,[데일리지] 착용감이 편안한 찰Jeans (슬림)_SPTJA23C01,M
76,79.5,63.0,47.2,111.0,2001991022,SPAO,39900,0,39900,[국민상품_데일리지] 롱 와이드진_SPTJA23C53,M
78,82.0,64.5,47.8,111.5,2001991022,SPAO,39900,0,39900,[국민상품_데일리지] 롱 와이드진_SPTJA23C53,M
80,84.5,66.0,48.4,112.0,2001991022,SPAO,39900,0,39900,[국민상품_데일리지] 롱 와이드진_SPTJA23C53,M
82,87.0,67.5,49.0,112.5,2001991022,SPAO,39900,0,39900,[국민상품_데일리지] 롱 와이드진_SPTJA23C53,M
84,89.5,69.0,49.6,113.0,2001991022,SPAO,39900,0,39900,[국민상품_데일리지] 롱 와이드진_SPTJA23C53,M
86,92.0,70.5,50.2,113.5,2001991022,SPAO,39900,0,39900,[국민상품_데일리지] 롱 와이드진_SPTJA23C53,M
